;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
223;3;2.2e-05;4e-06;1.8e-05
224;3;2.6e-05;5e-06;2.1e-05
225;3;2.9e-05;6e-06;2.3e-05
226;3;3.6e-05;7.000000000000002e-06;2.9e-05
227;3;3.2e-05;7.000000000000002e-06;2.4999999999999998e-05
228;3;2.4e-05;6e-06;1.8e-05
229;3;1.9e-05;6e-06;1.3000000000000001e-05
230;3;3.3e-05;6e-06;2.7000000000000002e-05
231;3;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
232;3;4.2e-05;7.000000000000002e-06;3.5e-05
233;3;3.5e-05;7.000000000000002e-06;2.7999999999999996e-05
234;3;3.1e-05;7.000000000000002e-06;2.4e-05
235;3;3.4e-05;7.000000000000002e-06;2.7e-05
236;3;1.9e-05;5e-06;1.4000000000000001e-05
237;3;2e-05;7.000000000000002e-06;1.3000000000000001e-05
238;3;2.3e-05;6e-06;1.7e-05
239;3;4.2e-05;7.000000000000002e-06;3.5e-05
240;3;3.2e-05;7.000000000000002e-06;2.4999999999999998e-05
241;3;2.1e-05;6e-06;1.4999999999999999e-05
242;3;2.3e-05;6e-06;1.7e-05
243;3;2.5e-05;7.000000000000002e-06;1.8e-05
244;3;2.7e-05;8e-06;1.9e-05
245;3;3.3e-05;6e-06;2.7000000000000002e-05
246;3;3.3e-05;6e-06;2.7000000000000002e-05
247;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
248;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
249;3;2.8e-05;6e-06;2.2e-05
250;3;3.7e-05;6e-06;3.0999999999999995e-05
251;3;2.7e-05;5e-06;2.2e-05
252;3;2.9e-05;6e-06;2.3e-05
253;3;3.1e-05;5e-06;2.6000000000000002e-05
254;3;3.9e-05;6e-06;3.3e-05
255;3;2.5e-05;8e-06;1.7e-05
256;3;2.8e-05;6e-06;2.2e-05
257;3;3.4e-05;8e-06;2.6000000000000002e-05
258;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
259;3;3.7e-05;8e-06;2.9e-05
260;3;2.5e-05;7.000000000000002e-06;1.8e-05
261;3;3.7e-05;6e-06;3.0999999999999995e-05
262;3;3.5e-05;6e-06;2.8999999999999997e-05
263;3;3.5e-05;6e-06;2.8999999999999997e-05
264;3;3.3e-05;7.000000000000002e-06;2.6000000000000002e-05
265;3;3.1e-05;7.000000000000002e-06;2.4e-05
266;3;3.6e-05;8e-06;2.8000000000000003e-05
267;3;3.7e-05;6e-06;3.0999999999999995e-05
268;3;3.3e-05;6e-06;2.7000000000000002e-05
269;3;3.4e-05;8e-06;2.6000000000000002e-05
270;4;2.1e-05;8e-06;1.3e-05
271;4;2.4e-05;1e-05;1.4e-05
272;4;2.8e-05;7.000000000000002e-06;2.1e-05
273;4;2.1e-05;9e-06;1.1999999999999999e-05
274;4;4e-05;9e-06;3.1e-05
275;4;3.2e-05;9e-06;2.2999999999999997e-05
276;4;3e-05;9e-06;2.1000000000000002e-05
277;4;3.3e-05;1e-05;2.3000000000000003e-05
278;4;3e-05;8e-06;2.2e-05
279;4;3.3e-05;9e-06;2.4e-05
280;4;3.3e-05;1e-05;2.3000000000000003e-05
281;4;3e-05;9e-06;2.1000000000000002e-05
282;4;4e-05;9e-06;3.1e-05
283;4;2.5e-05;9e-06;1.6000000000000003e-05
284;4;2.7e-05;1.1e-05;1.6e-05
285;4;3.2e-05;1e-05;2.2e-05
286;4;3.2e-05;9e-06;2.2999999999999997e-05
287;4;1.5e-05;5e-06;9.999999999999999e-06
288;4;3.7e-05;9e-06;2.7999999999999996e-05
289;4;3e-05;9e-06;2.1000000000000002e-05
290;4;3e-05;9e-06;2.1000000000000002e-05
291;4;3.3e-05;1e-05;2.3000000000000003e-05
292;4;2.4e-05;1e-05;1.4e-05
293;4;3.3e-05;1e-05;2.3000000000000003e-05
294;4;2.1e-05;9e-06;1.1999999999999999e-05
295;4;3.3e-05;9e-06;2.4e-05
296;4;2.8e-05;8e-06;1.9999999999999998e-05
297;4;2.7e-05;1.1e-05;1.6e-05
298;4;3.3e-05;9e-06;2.4e-05
299;4;3.4e-05;9e-06;2.4999999999999998e-05
300;4;3.4e-05;1e-05;2.4e-05
301;4;3.7e-05;9e-06;2.7999999999999996e-05
302;4;2.9e-05;8e-06;2.1000000000000002e-05
303;4;2.2e-05;5e-06;1.7e-05
304;4;2.4e-05;6e-06;1.8e-05
305;4;2.4e-05;6e-06;1.8e-05
306;4;2e-05;7.000000000000002e-06;1.3000000000000001e-05
307;4;2.4e-05;8e-06;1.6000000000000003e-05
308;4;2.1e-05;8e-06;1.3e-05
309;4;3.3e-05;9e-06;2.4e-05
310;4;2.4e-05;1e-05;1.4e-05
311;4;3.5e-05;1e-05;2.4999999999999998e-05
312;4;3.4e-05;9e-06;2.4999999999999998e-05
313;4;3.6e-05;1e-05;2.6000000000000002e-05
314;4;2.4e-05;9e-06;1.5e-05
315;4;2.4e-05;9e-06;1.5e-05
316;4;1.8e-05;7.000000000000002e-06;1.1e-05
317;4;2.9e-05;9e-06;1.9999999999999998e-05
318;4;2.3e-05;9e-06;1.4e-05
319;4;2.1e-05;8e-06;1.3e-05
320;4;3.3e-05;1e-05;2.3000000000000003e-05
321;4;3.5e-05;1.1e-05;2.3999999999999997e-05
322;4;3.9e-05;9e-06;2.9999999999999997e-05
323;4;3.6e-05;1e-05;2.6000000000000002e-05
324;4;4.6e-05;1.3e-05;3.3e-05
325;4;1.7e-05;7.000000000000002e-06;9.999999999999999e-06
326;4;3.4e-05;9e-06;2.4999999999999998e-05
327;4;3.4e-05;1e-05;2.4e-05
328;4;2.5e-05;9e-06;1.6000000000000003e-05
329;4;2.5e-05;9e-06;1.6000000000000003e-05
330;4;3.6e-05;9e-06;2.7e-05
331;4;3.2e-05;9e-06;2.2999999999999997e-05
332;4;3.4e-05;1.1e-05;2.3e-05
333;4;3.2e-05;1e-05;2.2e-05
334;4;3.2e-05;9e-06;2.2999999999999997e-05
335;4;3.3e-05;9e-06;2.4e-05
336;4;3.1e-05;9e-06;2.2e-05
