;Opcao;Tempo(ms);Tempo Server;Tempo Comunicacao
249;3;9.4e-05;1.2e-05;8.199999999999999e-05
250;3;6.7e-05;1.7e-05;5e-05
251;3;7.3e-05;1.2e-05;6.1e-05
252;3;9.3e-05;1.1e-05;8.2e-05
253;3;9.5e-05;1.2e-05;8.300000000000001e-05
254;3;9.2e-05;1.2e-05;7.999999999999999e-05
255;3;7.9e-05;1.2e-05;6.7e-05
256;3;9.2e-05;1.2e-05;7.999999999999999e-05
257;3;8.3e-05;1.2e-05;7.099999999999999e-05
258;3;9.1e-05;1.2e-05;7.9e-05
259;3;8.6e-05;1.6e-05;7.000000000000001e-05
260;3;9.8e-05;1.2e-05;8.6e-05
261;3;8.2e-05;1.6e-05;6.6e-05
262;3;0.000101;1.2e-05;8.9e-05
263;3;9.3e-05;1e-05;8.3e-05
264;3;6.5e-05;1.5e-05;4.9999999999999996e-05
265;3;9.9e-05;2.7e-05;7.199999999999999e-05
266;3;8e-05;2.6e-05;5.400000000000001e-05
267;3;2.9e-05;1.2e-05;1.7e-05
268;3;9.2e-05;1.9e-05;7.3e-05
269;3;9.3e-05;3.1e-05;6.199999999999999e-05
270;4;8e-05;4.3e-05;3.7000000000000005e-05
271;4;7.6e-05;4.2e-05;3.4000000000000007e-05
272;4;7.3e-05;4.8e-05;2.4999999999999998e-05
273;4;2.3e-05;4.1e-05;-1.8e-05
274;4;7.5e-05;9.1e-05;-1.600000000000001e-05
275;4;9.7e-05;3.5e-05;6.2e-05
276;4;7.7e-05;0.000124;-4.7000000000000004e-05
277;4;6e-05;3.1e-05;2.9e-05
278;4;8.5e-05;2.6e-05;5.900000000000001e-05
279;4;8.1e-05;2.5e-05;5.6000000000000006e-05
280;4;8.9e-05;2.9e-05;5.9999999999999995e-05
281;4;1.3e-05;3e-05;-1.7e-05
282;4;6e-06;5.6e-05;-4.9999999999999996e-05
283;4;1.2e-05;4.1e-05;-2.9e-05
284;4;1.1e-05;3.7e-05;-2.6e-05
285;4;7e-06;2.2e-05;-1.4999999999999999e-05
286;4;1e-05;2.3e-05;-1.3e-05
287;4;7e-06;2.5e-05;-1.8e-05
288;4;1.6e-05;3.9e-05;-2.3e-05
289;4;8e-06;2e-05;-1.2000000000000002e-05
290;4;4.1e-05;4.2e-05;-9.999999999999972e-07
291;4;1.7e-05;4.9e-05;-3.2e-05
292;4;2e-05;2.5e-05;-4.9999999999999996e-06
293;4;8e-05;2.6e-05;5.400000000000001e-05
294;4;7.3e-05;2.5e-05;4.8e-05
295;4;5.3e-05;2.2e-05;3.1e-05
296;4;7e-05;1.7e-05;5.2999999999999994e-05
297;4;4.3e-05;1.6e-05;2.7000000000000002e-05
298;4;6.5e-05;2.2e-05;4.2999999999999995e-05
299;4;8.1e-05;1.7e-05;6.400000000000001e-05
300;4;7.4e-05;4.7e-05;2.7e-05
301;4;0.000106;4.6e-05;6e-05
302;4;5.8e-05;2.1e-05;3.7000000000000005e-05
303;4;6.7e-05;1.7e-05;5e-05
304;4;9.9e-05;2.2e-05;7.7e-05
305;4;9.9e-05;2.3e-05;7.599999999999999e-05
306;4;5.6e-05;2.3e-05;3.3e-05
307;4;5.7e-05;2.1e-05;3.600000000000001e-05
308;4;7.9e-05;2.8e-05;5.099999999999999e-05
309;4;7.5e-05;2.2e-05;5.2999999999999994e-05
310;4;0.000108;1.9e-05;8.9e-05
311;4;7.2e-05;4.6e-05;2.6000000000000002e-05
312;4;5.6e-05;5.1e-05;4.9999999999999996e-06
313;4;0.000103;5.1e-05;5.2e-05
314;4;6.7e-05;5.2e-05;1.5000000000000005e-05
315;4;7.1e-05;5.8e-05;1.3000000000000004e-05
316;4;6.3e-05;8.6e-05;-2.3000000000000003e-05
317;4;6.3e-05;0.000144;-8.1e-05
318;4;6.8e-05;8e-05;-1.2000000000000007e-05
319;4;7.2e-05;0.000115;-4.3e-05
320;4;7.2e-05;0.000113;-4.0999999999999994e-05
321;4;8.7e-05;0.000118;-3.0999999999999995e-05
322;4;8.1e-05;0.000126;-4.4999999999999996e-05
323;4;0.000109;0.000121;-1.1999999999999994e-05
324;4;6.9e-05;0.000106;-3.7000000000000005e-05
325;4;0.000103;7.5e-05;2.8000000000000003e-05
326;4;8.4e-05;4.2e-05;4.2e-05
327;4;0.000103;7.8e-05;2.4999999999999998e-05
328;4;8.4e-05;5.5e-05;2.8999999999999993e-05
329;4;4.7e-05;5.2e-05;-4.9999999999999996e-06
330;4;9.8e-05;8.6e-05;1.1999999999999994e-05
331;4;8.9e-05;0.000119;-3.000000000000001e-05
332;4;7e-05;5.9e-05;1.0999999999999996e-05
333;4;9e-05;2.5e-05;6.500000000000001e-05
334;4;8.2e-05;1.8e-05;6.4e-05
335;4;8.3e-05;4.2e-05;4.1e-05
336;4;9.2e-05;2e-05;7.2e-05
337;4;0.0001;5e-05;5e-05
338;4;7.3e-05;4.8e-05;2.4999999999999998e-05
339;4;3.8e-05;2.2e-05;1.6000000000000003e-05
340;4;7.1e-05;2.3e-05;4.8e-05
341;4;7.9e-05;2.4e-05;5.4999999999999995e-05
342;4;9.2e-05;2.5e-05;6.7e-05
343;4;7.4e-05;2.2e-05;5.2e-05
344;4;0.000102;3.8e-05;6.4e-05
345;4;7.7e-05;5.1e-05;2.6000000000000002e-05
346;4;9.9e-05;5.1e-05;4.7999999999999994e-05
347;4;6.7e-05;1.8e-05;4.9e-05
348;4;7.9e-05;2.2e-05;5.6999999999999996e-05
349;4;8.6e-05;2.4e-05;6.2e-05
350;4;5.6e-05;1.9e-05;3.7e-05
351;4;7.3e-05;2.5e-05;4.8e-05
352;4;9.1e-05;1.7e-05;7.400000000000001e-05
353;4;5.7e-05;2.1e-05;3.600000000000001e-05
354;4;7.2e-05;2.5e-05;4.7000000000000004e-05
355;4;5.8e-05;3.1e-05;2.7e-05
356;4;2.8e-05;3e-05;-2.000000000000001e-06
357;4;8.1e-05;2.5e-05;5.6000000000000006e-05
358;4;0.0001;5.9e-05;4.100000000000001e-05
359;4;9.3e-05;2.7e-05;6.6e-05
360;5;3.8e-05;3e-05;8.000000000000001e-06
361;5;3.2e-05;2.8e-05;3.999999999999999e-06
362;5;5.2e-05;4.7e-05;4.9999999999999996e-06
363;5;9.6e-05;3.2e-05;6.400000000000001e-05
364;5;8.7e-05;2.3e-05;6.4e-05
365;5;5.9e-05;3.2e-05;2.7e-05
366;5;7.4e-05;3.4e-05;3.9999999999999996e-05
367;5;8.2e-05;2.8e-05;5.4e-05
368;5;8.5e-05;2.2e-05;6.300000000000001e-05
369;5;4.7e-05;2.2e-05;2.4999999999999998e-05
370;5;8.4e-05;3.9e-05;4.4999999999999996e-05
371;5;5.6e-05;2.1e-05;3.5e-05
372;5;8.2e-05;2.3e-05;5.9e-05
373;5;7.2e-05;2.9e-05;4.3e-05
374;5;6.5e-05;3e-05;3.5e-05
375;5;7.7e-05;3e-05;4.7000000000000004e-05
376;5;0.0001;2.6e-05;7.400000000000001e-05
377;5;6.4e-05;6.3e-05;9.999999999999972e-07
378;5;8.6e-05;2.3e-05;6.3e-05
379;5;7.7e-05;3e-05;4.7000000000000004e-05
380;5;8.2e-05;2.9e-05;5.3e-05
381;5;8.1e-05;2.9e-05;5.2000000000000004e-05
382;5;7.3e-05;2.3e-05;4.9999999999999996e-05
383;5;7.7e-05;2.6e-05;5.1000000000000006e-05
384;5;5.7e-05;2.1e-05;3.600000000000001e-05
385;5;7.6e-05;2.9e-05;4.7000000000000004e-05
386;5;8.5e-05;2.8e-05;5.7e-05
387;5;7e-05;3e-05;3.9999999999999996e-05
388;5;8.5e-05;2.2e-05;6.300000000000001e-05
389;5;6e-05;2.9e-05;3.1e-05
390;5;8.8e-05;2.9e-05;5.9e-05
391;5;6.1e-05;3.1e-05;2.9999999999999997e-05
392;5;5.1e-05;2.1e-05;3e-05
393;5;8.3e-05;2.1e-05;6.2e-05
394;5;8.9e-05;2.7e-05;6.199999999999999e-05
395;5;7.9e-05;2.9e-05;4.9999999999999996e-05
396;5;9.3e-05;2.9e-05;6.4e-05
397;5;8e-05;2.8e-05;5.2000000000000004e-05
398;5;6.4e-05;3e-05;3.4e-05
399;5;8.9e-05;3e-05;5.9e-05
400;5;5e-05;2.1e-05;2.9000000000000004e-05
401;5;7.2e-05;3.2e-05;4e-05
402;5;9.8e-05;3.1e-05;6.7e-05
403;5;8.8e-05;2.9e-05;5.9e-05
404;5;7.7e-05;2.2e-05;5.5e-05
405;5;3e-05;2.9e-05;1.0000000000000006e-06
406;5;5.5e-05;2.2e-05;3.3e-05
407;5;5.2e-05;2.8e-05;2.3999999999999997e-05
408;5;6.4e-05;2.8e-05;3.5999999999999994e-05
409;5;7.6e-05;2.1e-05;5.500000000000001e-05
410;5;9.4e-05;2.1e-05;7.3e-05
411;5;5.3e-05;2.9e-05;2.4e-05
412;5;4.9e-05;3.1e-05;1.7999999999999997e-05
413;5;8e-05;2.1e-05;5.900000000000001e-05
414;5;7.4e-05;2.2e-05;5.2e-05
415;5;8e-05;2.9e-05;5.1000000000000006e-05
416;5;5.7e-05;2.8e-05;2.9000000000000004e-05
417;5;8.2e-05;2.2e-05;6e-05
418;5;8.6e-05;2.8e-05;5.8e-05
419;5;9.9e-05;2.2e-05;7.7e-05
420;5;5.7e-05;2.7e-05;3.0000000000000004e-05
421;5;7e-05;3.1e-05;3.899999999999999e-05
422;5;8.7e-05;3e-05;5.7e-05
423;5;5.7e-05;2.9e-05;2.8000000000000003e-05
424;5;5.4e-05;2.3e-05;3.0999999999999995e-05
425;5;5.1e-05;3.3e-05;1.7999999999999997e-05
426;5;8.6e-05;2.1e-05;6.500000000000001e-05
427;5;6.3e-05;2.1e-05;4.2000000000000004e-05
428;5;7.4e-05;2.1e-05;5.3e-05
429;5;7.3e-05;2.9e-05;4.4e-05
430;5;8.8e-05;2.7e-05;6.1e-05
431;5;2.3e-05;2.1e-05;2.000000000000001e-06
432;5;7.1e-05;2.2e-05;4.9000000000000005e-05
433;5;9.1e-05;2.9e-05;6.2e-05
434;5;5.8e-05;3.1e-05;2.7e-05
435;5;0.000101;2.8e-05;7.3e-05
436;5;5.6e-05;2.2e-05;3.4e-05
437;5;8.9e-05;3.7e-05;5.2e-05
438;5;9e-05;2.2e-05;6.8e-05
439;5;4.2e-05;3e-05;1.1999999999999997e-05
440;5;8.5e-05;3.1e-05;5.4000000000000005e-05
441;5;3.7e-05;2.9e-05;7.999999999999998e-06
442;5;5.6e-05;2.8e-05;2.8e-05
443;5;7.2e-05;2.5e-05;4.7000000000000004e-05
444;5;0.000114;3.8e-05;7.6e-05
445;5;9.1e-05;2.1e-05;7.000000000000001e-05
446;5;0.000101;3.1e-05;7e-05
447;5;7.3e-05;3e-05;4.3e-05
448;5;7.6e-05;3e-05;4.600000000000001e-05
449;5;0.000104;2.8e-05;7.599999999999999e-05
450;6;6.9e-05;1.3e-05;5.6e-05
451;6;6.2e-05;1.9e-05;4.3e-05
452;6;0.0001;1.3e-05;8.7e-05
453;6;9.7e-05;1.3e-05;8.4e-05
454;6;0.0001;1.7e-05;8.300000000000001e-05
455;6;9.3e-05;1.3e-05;7.999999999999999e-05
456;6;8.8e-05;1.7e-05;7.099999999999999e-05
457;6;9.3e-05;1.7e-05;7.6e-05
458;6;4.9e-05;1.8e-05;3.0999999999999995e-05
459;6;9.2e-05;1.3e-05;7.9e-05
460;6;0.000106;5.2e-05;5.4000000000000005e-05
461;6;9e-05;1.8e-05;7.2e-05
462;6;6.2e-05;1.9e-05;4.3e-05
463;6;6e-05;1.7e-05;4.3e-05
464;6;0.000101;1.7e-05;8.400000000000001e-05
465;6;8e-05;2.8e-05;5.2000000000000004e-05
466;6;7.4e-05;1.9e-05;5.4999999999999995e-05
467;6;7.7e-05;2.3e-05;5.4e-05
468;6;8.9e-05;1.4e-05;7.5e-05
469;6;9e-05;1.8e-05;7.2e-05
470;6;7.8e-05;1.8e-05;5.9999999999999995e-05
471;6;8.9e-05;1.7e-05;7.199999999999999e-05
